nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,anciennete_compte_jours
Ramirez,Casey,73.0,161.1,67.3,H,non,master,Occitanie,non,oui,857.0,célibataire,3.0,0.11,615.0,1377.97,13157.101646368172,543.0
Hill,Phillip,44.0,168.2,74.9,H,non,bac,Île-de-France,non,oui,5245.0,célibataire,2.0,0.79,666.8,10000.0,32408.309271881208,1003.0
Hernandez,Martin,71.0,160.3,45.5,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,3792.0,célibataire,0.0,0.13,526.4,5000.0,17975.461375021725,1016.0
Miller,Michael,62.0,161.9,87.7,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,3291.0,divorcé,4.0,0.32,572.0,10000.0,16004.737730594868,803.0
Walker,Matthew,18.0,178.0,77.6,F,oui,bac,Corse,non,oui,3893.0,célibataire,1.0,0.66,541.2,4209.854,10437.682759868923,1133.0
Haney,Jacob,65.0,179.5,61.5,F,non,bac,Occitanie,non,non,2577.0,veuf,2.0,0.58,543.8,5000.0,500.0,1087.0
Alexander,Christopher,22.0,170.8,60.9,F,non,master,Bretagne,oui,oui,714.0,célibataire,0.0,0.46,772.0,699.57,500.0,1120.0
Walsh,Nicole,54.0,170.0,61.3,H,oui,aucun,Île-de-France,oui,oui,2629.0,marié,2.0,0.22,636.6,10000.0,500.0,1015.0
Flores,Mark,61.0,175.2,58.5,H,oui,doctorat,Corse,oui,oui,1572.0,divorcé,2.0,0.85,356.0,5000.0,4494.300952230585,495.0
Fernandez,Justin,28.0,161.6,81.2,F,oui,master,Hauts-de-France,oui,oui,500.0,célibataire,2.0,0.66,356.0,10000.0,500.0,1548.0
Liu,Michael,28.0,181.8,81.1,F,non,master,Bretagne,non,oui,2847.0,marié,3.0,0.37,611.0,518.38,22788.001263240207,2202.0
Young,Lisa,24.0,169.1,68.1,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3440.0,marié,2.0,0.14,633.0,3393.0,18070.091787237645,1285.0
Smith,Jose,42.0,170.2,53.4,F,oui,bac+2,Bretagne,oui,oui,4508.0,célibataire,3.0,0.33,660.2,831.36,8464.616164954017,1865.0
Wilson,Dennis,53.0,158.2,84.3,F,oui,doctorat,Hauts-de-France,oui,oui,885.0,marié,3.0,0.48,375.0,5000.0,12373.56023523041,1966.0
Taylor,Jeffery,57.0,158.9,57.3,H,oui,master,Île-de-France,oui,oui,3114.0,célibataire,4.0,0.5,646.0,10000.0,20050.690685912497,1406.0
Warren,Alexander,22.0,155.5,85.0,H,oui,master,Occitanie,non,oui,1501.0,marié,3.0,0.1,578.2,10000.0,16303.54507463377,1721.0
Farmer,Angela,45.0,188.0,87.6,F,non,bac,Occitanie,oui,oui,1840.0,célibataire,2.0,0.52,434.0,596.0,500.0,1849.0
Scott,Tara,37.0,164.6,95.1,H,oui,aucun,Auvergne-Rhône-Alpes,non,non,2050.0,marié,5.0,0.5,634.0,4378.692,500.0,446.0
Moreno,Dennis,35.0,170.6,83.3,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,3911.0,divorcé,3.0,0.67,569.2,2559.138,500.0,1488.0
Stewart,Emily,34.0,157.9,73.9,F,non,aucun,Île-de-France,oui,oui,3821.0,marié,5.0,0.04,676.6,1141.89,500.0,2064.0
Montes,Joseph,29.0,165.3,79.0,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,500.0,marié,2.0,0.5,521.0,925.87,17137.888522770147,1294.0
Torres,Victoria,24.0,169.4,58.2,F,non,aucun,Bretagne,oui,non,3269.0,célibataire,3.0,0.45,568.2,5145.3099999999995,500.0,1575.0
Ramirez,Peggy,74.0,155.1,65.4,H,non,bac+2,Normandie,oui,oui,500.0,veuf,2.0,0.22,556.0,5179.334,500.0,1270.0
Murphy,Lori,53.0,181.7,56.7,H,oui,master,Île-de-France,oui,oui,2802.0,marié,3.0,0.01,639.4,5000.0,21691.867312082977,979.0
Harrington,Tommy,58.0,181.7,59.0,F,oui,bac+2,Corse,non,oui,832.0,marié,2.0,0.51,689.0,5309.106000000001,23167.904430812967,1657.0
Becker,Norma,32.0,167.1,76.5,H,non,doctorat,Île-de-France,oui,non,4635.0,célibataire,5.0,0.8,538.6,10000.0,1986.2237285384024,1997.0
Brown,Nicholas,51.0,152.9,70.6,F,oui,master,Provence-Alpes-Côte d’Azur,non,non,500.0,divorcé,4.0,0.96,550.2,10000.0,500.0,1298.0
Crosby,Nicole,22.0,170.3,84.1,H,non,aucun,Hauts-de-France,oui,oui,900.0,marié,3.0,0.14,673.8,4019.9080000000004,500.0,1423.0
Watts,Michael,58.0,172.7,76.4,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,3853.0,marié,2.0,0.4,656.0,10000.0,500.0,513.0
Moore,Deborah,49.0,174.6,70.0,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,2203.0,marié,3.0,0.8,538.0,866.27,16750.901381517804,1578.0
Smith,Molly,66.0,156.9,73.7,H,non,doctorat,Corse,non,non,1672.0,célibataire,5.0,0.12,620.0,5148.532,500.0,716.0
Grimes,Joseph,71.0,169.5,63.8,H,non,master,Auvergne-Rhône-Alpes,non,oui,2267.0,marié,3.0,0.12,818.0,10000.0,27822.25265661032,1905.0
Hogan,William,44.0,166.2,56.4,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2350.0,marié,4.0,0.08,541.4,10000.0,12238.402238366429,2052.0
Moore,Mallory,28.0,180.5,73.1,H,oui,master,Île-de-France,non,non,2182.0,marié,3.0,0.02,546.6,10000.0,18547.59442206578,463.0
Herman,Angela,33.0,184.1,68.2,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,923.0,veuf,3.0,0.57,443.8,6240.79,500.0,1707.0
Miles,Tracy,46.0,180.0,80.4,F,non,master,Hauts-de-France,oui,non,2214.0,marié,3.0,0.86,464.0,10000.0,500.0,289.0
Sharp,Patricia,52.0,166.9,66.4,F,non,bac,Corse,non,non,1959.0,marié,5.0,0.5,592.6,5000.0,500.0,293.0
Howard,Timothy,30.0,184.7,82.7,F,non,bac,Occitanie,oui,oui,2687.0,célibataire,3.0,0.65,583.2,5000.0,500.0,2182.0
Brown,Michael,27.0,183.9,60.6,H,oui,aucun,Auvergne-Rhône-Alpes,non,non,1788.0,marié,3.0,0.9,461.0,10000.0,500.0,308.0
Harrison,Amy,38.0,182.2,92.7,F,oui,master,Corse,non,non,2125.0,divorcé,1.0,0.93,786.0,10000.0,500.0,1631.0
Mueller,Meghan,24.0,172.9,42.6,F,non,bac+2,Île-de-France,oui,oui,1389.0,célibataire,1.0,0.6,481.6,793.17,1366.7152302536567,1755.0
Conley,Jeffrey,31.0,151.7,72.7,F,oui,aucun,Corse,oui,oui,2850.0,marié,2.0,0.89,520.0,10000.0,500.0,1880.0
Diaz,John,30.0,153.3,66.0,F,oui,master,Corse,oui,non,1809.0,veuf,4.0,0.28,763.0,5000.0,500.0,374.0
Lee,Keith,24.0,171.2,80.3,H,oui,master,Auvergne-Rhône-Alpes,oui,non,4370.0,marié,2.0,0.15,804.0,10000.0,7915.101090898372,658.0
Martin,Melanie,20.0,161.2,37.6,F,oui,master,Bretagne,oui,oui,4778.0,marié,0.0,0.4,594.6,2618.388,28396.908742389693,1736.0
Contreras,Wesley,72.0,171.5,97.1,H,non,doctorat,Île-de-France,oui,oui,725.0,veuf,3.0,0.8,520.4,10000.0,18632.93584235897,341.0
Morales,Tina,19.0,169.3,79.9,F,non,aucun,Île-de-France,oui,non,2124.0,célibataire,2.0,0.53,511.0,5000.0,500.0,1103.0
Curtis,Devin,49.0,160.0,72.3,H,non,bac,Normandie,non,oui,3422.0,marié,2.0,0.6,640.0,5303.812,14326.37709078331,2269.0
Morgan,Lance,47.0,188.7,73.5,F,non,bac,Hauts-de-France,oui,oui,3838.0,marié,2.0,0.5,553.2,5000.0,500.0,1306.0
Lee,Travis,29.0,167.4,70.9,H,oui,aucun,Hauts-de-France,oui,oui,660.0,célibataire,3.0,0.64,499.0,3405.504,500.0,455.0
Mejia,Paul,64.0,169.6,60.7,F,non,master,Île-de-France,non,oui,2071.0,veuf,3.0,0.6,603.8,10000.0,16528.519173978777,1770.0
