age,taille,poids,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
73,161.1,67.3,857.0,2.8,0.11,615.0,1377.97,13157.101646368172
44,168.2,74.9,5245.0,2.0,0.79,723.2,10000.0,32408.309271881208
71,160.3,45.5,3792.0,0.0,0.13,590.0,5000.0,17975.461375021725
62,161.9,87.7,3291.0,4.0,0.32,557.2,10000.0,16004.737730594868
18,178.0,77.6,3893.0,2.6,0.66,661.6,3489.3199999999997,10437.682759868923
65,179.5,61.5,2577.0,1.0,0.58,535.2,5000.0,500.0
22,170.8,60.9,714.0,0.0,0.46,772.0,699.57,500.0
54,170.0,61.3,2629.0,2.8,0.22,683.0,10000.0,500.0
61,175.2,58.5,1572.0,1.4,0.85,356.0,5000.0,4494.300952230585
28,161.6,81.2,500.0,2.0,0.66,356.0,10000.0,500.0
28,181.8,81.1,2847.0,1.4,0.37,611.0,518.38,22788.001263240207
24,169.1,68.1,3440.0,2.0,0.14,633.0,4266.296,18070.091787237645
42,170.2,53.4,4508.0,2.6,0.33,668.2,831.36,8464.616164954017
53,158.2,84.3,885.0,3.0,0.48,375.0,5000.0,12373.56023523041
57,158.9,57.3,3114.0,4.0,0.5,646.0,10000.0,20050.690685912497
22,155.5,85.0,1501.0,2.4,0.1,522.6,10000.0,16303.54507463377
45,188.0,87.6,1840.0,2.0,0.52,434.0,596.0,500.0
37,164.6,95.1,2050.0,5.0,0.5,634.0,5280.836,500.0
35,170.6,83.3,3911.0,3.0,0.67,659.8,8000.0,500.0
34,157.9,73.9,3821.0,5.0,0.04,627.2,1141.89,500.0
29,165.3,79.0,500.0,2.4,0.5,489.6,925.87,17137.888522770147
24,169.4,58.2,3269.0,3.0,0.45,503.4,6135.068,500.0
74,155.1,65.4,500.0,2.0,0.22,584.8,1542.566,500.0
53,181.7,56.7,2802.0,2.0,0.01,666.4,5000.0,21691.867312082977
58,181.7,59.0,832.0,2.8,0.51,689.0,6140.526,23167.904430812967
32,167.1,76.5,4635.0,5.0,0.8,539.0,10000.0,1986.2237285384024
51,152.9,70.6,500.0,4.0,0.96,542.8,10000.0,500.0
22,170.3,84.1,900.0,3.0,0.14,599.8,7246.794,500.0
58,172.7,76.4,3853.0,2.0,0.4,656.0,10000.0,500.0
49,174.6,70.0,2203.0,2.2,0.8,476.0,866.27,16750.901381517804
66,156.9,73.7,1672.0,5.0,0.12,620.0,5429.692,500.0
71,169.5,63.8,2267.0,1.6,0.12,818.0,10000.0,27822.25265661032
44,166.2,56.4,2350.0,4.0,0.08,638.6,10000.0,12238.402238366429
28,180.5,73.1,2182.0,3.0,0.02,432.0,10000.0,18547.59442206578
33,184.1,68.2,923.0,3.0,0.57,429.8,7246.794,500.0
46,180.0,80.4,2214.0,3.0,0.86,464.0,10000.0,500.0
52,166.9,66.4,1959.0,5.0,0.5,669.4,5000.0,500.0
30,184.7,82.7,2687.0,2.6,0.65,506.4,5000.0,500.0
